City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Description
Skibbereen,IE,51.55,-9.2667,48.2,100,75,11.5,mist
Scarborough,GB,54.2797,-0.4044,36.0,93,97,4.0,overcast clouds
Saint-Francois,FR,46.4154,3.9054,34.0,80,0,3.44,clear sky
Samarai,PG,-10.6167,150.6667,81.03,76,100,4.41,light rain
Zhuhai,CN,22.2769,113.5678,66.2,77,20,11.5,few clouds
Bequimao,BR,-2.4489,-44.7825,82.4,83,75,10.36,broken clouds
Aklavik,CA,68.2191,-135.0107,-11.2,77,90,5.75,light snow
Monrovia,LR,6.3005,-10.7969,80.6,89,40,8.05,mist
Longyearbyen,SJ,78.2186,15.6401,5.0,39,0,19.57,clear sky
Baruun-Urt,MN,46.6806,113.2792,-13.97,81,0,8.46,clear sky
Porto Santo,PT,33.072,-16.3415,62.6,82,40,8.05,scattered clouds
Karatau,KZ,43.1667,70.4667,15.24,93,54,2.46,broken clouds
Banda Aceh,ID,5.5577,95.3222,77.95,79,9,4.03,clear sky
Tongzi,CN,28.7829,105.0877,48.78,78,95,1.54,overcast clouds
Vila Franca Do Campo,PT,37.7167,-25.4333,62.01,94,75,13.8,broken clouds
Mnogovershinnyy,RU,53.9353,139.9242,-13.81,91,100,2.57,overcast clouds
Tuatapere,NZ,-46.1333,167.6833,70.0,55,100,11.01,overcast clouds
Mackay,AU,-21.15,149.2,75.2,94,75,4.61,broken clouds
Nome,US,64.5011,-165.4064,12.2,85,90,1.68,overcast clouds
Okha,RU,53.5739,142.9478,-5.33,87,100,8.61,overcast clouds
Carnarvon,AU,-24.8667,113.6333,69.8,73,11,20.71,few clouds
Galveston,US,29.3669,-94.9669,71.6,40,75,14.97,broken clouds
Doha,QA,25.2867,51.5333,66.2,63,0,8.05,clear sky
Khairpur,PK,27.5295,68.7617,50.0,76,0,4.36,haze
Isangel,VU,-19.55,169.2667,78.8,89,75,5.75,broken clouds
Jega,NG,12.2175,4.3792,78.13,16,16,9.24,few clouds
Coihaique,CL,-45.5752,-72.0662,55.4,58,75,8.05,light rain
Fauske,NO,67.2588,15.3918,28.99,64,0,19.57,clear sky
Port-Gentil,GA,-0.7193,8.7815,80.6,89,20,9.22,moderate rain
Kokstad,ZA,-30.5472,29.4241,61.18,90,100,3.6,overcast clouds
Barillas,GT,15.8036,-91.3158,82.4,17,0,6.91,clear sky
Larkana,PK,27.5551,68.2141,50.0,76,0,3.65,haze
Moranbah,AU,-22.0016,148.0466,70.54,94,2,6.31,clear sky
Havre-Saint-Pierre,CA,50.2334,-63.5986,33.8,60,90,10.36,overcast clouds
Monroe,US,43.1501,-77.6831,28.99,93,90,14.97,light snow
Harnosand,SE,62.6323,17.9379,15.01,92,99,8.05,overcast clouds
Harer,ET,9.3094,42.1258,54.86,40,42,5.28,scattered clouds
Antofagasta,CL,-23.65,-70.4,73.99,64,20,18.41,few clouds
Wajid,SO,3.8093,43.2471,78.35,28,0,10.47,clear sky
San Juan,AR,-31.5375,-68.5364,95.86,15,1,14.58,clear sky
Kinango,KE,-4.1372,39.3153,78.8,78,20,4.61,few clouds
Buchanan,LR,5.8808,-10.0467,80.6,89,40,8.1,mist
Kirakira,SB,-10.4544,161.9205,82.22,80,75,12.17,broken clouds
Inverell,AU,-29.7833,151.1167,66.99,84,0,2.55,clear sky
Kahului,US,20.8947,-156.47,77.0,65,40,19.57,scattered clouds
Singkang,MY,2.1006,102.7994,75.2,88,20,3.44,few clouds
Marmora,IT,44.4583,7.094,35.01,74,58,3.44,broken clouds
Strezhevoy,RU,60.7333,77.5889,-13.0,77,90,6.71,light snow
Beloha,MG,-25.1667,45.05,74.93,80,84,10.31,broken clouds
Mazabuka,ZM,-15.856,27.748,63.75,98,100,4.68,overcast clouds
Hede,CN,33.7681,120.2517,36.48,87,0,5.55,clear sky
Inverness,GB,57.4791,-4.224,33.01,100,75,7.31,snow
Eyrarbakki,IS,63.863,-21.1481,28.4,43,0,20.71,clear sky
Carutapera,BR,-1.195,-46.02,83.37,70,35,8.14,scattered clouds
Takoradi,GH,4.8845,-1.7554,79.93,82,82,10.47,broken clouds
Songwa,TZ,-3.5167,33.5167,67.26,84,40,5.57,light rain
Nouadhibou,MR,20.931,-17.0347,68.0,73,0,11.5,clear sky
Alugan,PH,12.2188,125.4808,78.19,86,100,10.6,overcast clouds
Pitimbu,BR,-7.4706,-34.8086,82.4,74,20,13.8,few clouds
Konokovo,RU,44.8616,41.3266,41.0,75,0,11.18,clear sky
Kysyl-Syr,RU,63.8986,122.7617,-52.1,76,59,4.43,broken clouds
Greenland,US,43.0362,-70.8328,32.0,47,90,3.44,overcast clouds
Necochea,AR,-38.5473,-58.7368,74.98,74,89,11.34,overcast clouds
Noumea,NC,-22.2763,166.4572,80.01,73,0,2.3,clear sky
Naze,JP,28.3667,129.4833,60.1,83,55,8.57,broken clouds
Houma,US,29.5958,-90.7195,66.2,77,90,8.05,overcast clouds
Sayla,IN,22.55,71.4667,57.16,37,0,9.89,clear sky
Winnemucca,US,40.973,-117.7357,28.4,69,90,10.36,overcast clouds
Nuuk,GL,64.1835,-51.7216,21.2,73,75,9.22,broken clouds
Nemuro,JP,43.3236,145.575,31.08,97,100,19.06,snow
Ust-Ordynskiy,RU,52.805,104.7508,-27.4,75,20,3.94,few clouds
Porto Novo,BJ,6.4965,2.6036,84.2,79,0,11.5,haze
Labuhan,ID,-6.8844,112.2051,77.72,84,84,8.95,broken clouds
Horsham,GB,51.064,-0.3272,43.0,93,75,10.36,broken clouds
San Estanislao,CO,10.3983,-75.1511,87.8,62,40,17.27,scattered clouds
Beira,MZ,-19.8436,34.8389,82.0,83,40,6.44,scattered clouds
Razdolnoye,RU,43.55,131.9167,21.2,86,44,6.71,scattered clouds
Qaqortoq,GL,60.7167,-46.0333,23.0,30,20,23.02,few clouds
Zhanakorgan,KZ,43.9098,67.2495,21.49,87,0,1.7,clear sky
Qasigiannguit,GL,68.8193,-51.1922,12.2,62,75,19.57,broken clouds
Krasnogorsk,RU,55.8225,37.3181,36.0,75,90,13.42,light snow
Henties Bay,NA,-22.116,14.2845,69.01,88,45,4.27,scattered clouds
Salinopolis,BR,-0.6136,-47.3561,82.69,74,100,10.98,overcast clouds
Stokmarknes,NO,68.5646,14.9108,24.8,74,0,8.05,clear sky
Kindu,CD,-2.95,25.95,72.3,86,100,3.27,overcast clouds
Tandil,AR,-37.3217,-59.1332,96.24,14,99,16.04,overcast clouds
Union,US,40.6334,-74.2663,34.0,93,90,11.5,light intensity drizzle
Asau,RO,46.4333,26.4,32.0,68,100,3.85,light snow
Miri,MY,4.4148,114.0089,75.2,100,40,1.14,scattered clouds
Awjilah,LY,29.1081,21.2869,63.57,27,38,11.61,scattered clouds
Copiapo,CL,-27.3667,-70.3333,71.6,56,20,12.66,few clouds
Padang,ID,-0.9492,100.3543,75.2,88,90,2.3,overcast clouds
La Rioja,ES,42.25,-2.5,53.6,82,90,6.73,overcast clouds
Praia,CV,14.9215,-23.5087,73.4,60,0,14.97,clear sky
Ilhabela,BR,-23.7781,-45.3581,81.86,73,93,4.79,overcast clouds
Basco,PH,20.4487,121.9702,71.96,77,39,21.16,scattered clouds
Cartagena,CO,10.3997,-75.5144,87.8,62,40,17.27,scattered clouds
Lekoni,GA,-1.5843,14.2591,76.37,78,50,5.97,light rain
Guabito,PA,9.5,-82.6167,82.4,69,75,6.91,broken clouds
Pingdingshan,CN,33.7385,113.3012,37.76,68,11,1.81,few clouds
Zhengjiatun,CN,43.5064,123.5064,0.46,85,0,9.33,clear sky
Toora-Khem,RU,52.4675,96.11,-13.45,86,100,1.77,overcast clouds
Orel-Izumrud,RU,43.4583,39.9244,51.8,54,90,13.42,overcast clouds
Southbridge,US,42.0751,-72.0334,30.0,79,100,1.01,snow
Guerrero Negro,MX,27.9769,-114.0611,61.77,46,0,19.19,clear sky
Shellbrook,CA,53.2168,-106.4011,-14.8,76,75,5.75,broken clouds
Grand Gaube,MU,-20.0064,57.6608,75.99,76,38,3.0,scattered clouds
Kimbe,PG,-5.5502,150.1429,76.3,87,100,2.17,overcast clouds
Bilibino,RU,68.0546,166.4372,-19.71,82,97,4.54,overcast clouds
Port Hardy,CA,50.6996,-127.4199,42.8,81,90,25.32,overcast clouds
Jalaun,IN,26.1451,79.3366,48.36,58,0,3.71,clear sky
Maldonado,UY,-34.6667,-54.9167,84.99,61,75,10.36,broken clouds
Coolum Beach,AU,-26.5333,153.1,73.0,97,18,5.48,few clouds
Anshun,CN,26.25,105.9333,44.06,92,100,5.55,overcast clouds
Port Lincoln,AU,-34.7333,135.8667,61.59,73,97,15.05,overcast clouds
Colares,PT,38.7992,-9.4469,59.0,22,100,6.17,overcast clouds
Loiza,PR,18.4313,-65.8802,82.4,65,75,17.27,broken clouds
Mpika,ZM,-11.8343,31.4529,62.15,95,88,1.61,light rain
Arivonimamo,MG,-19.0167,47.1833,64.4,100,75,3.44,light rain
Ushtobe,KZ,45.2514,77.9838,7.23,89,0,7.02,clear sky
Selma,US,36.5708,-119.6121,48.0,87,75,6.91,broken clouds
Del Rio,US,29.3627,-100.8968,78.8,25,1,18.41,clear sky
Boddam,GB,57.4667,-1.7833,33.8,100,75,1.14,light rain
Moree,AU,-29.4667,149.85,75.2,60,90,10.36,overcast clouds
Caldas Novas,BR,-17.7417,-48.625,83.14,56,97,6.6,overcast clouds
Soe,ID,-9.8607,124.284,65.48,98,100,4.45,overcast clouds
Mount Isa,AU,-20.7333,139.5,77.0,88,86,4.61,overcast clouds
Thinadhoo,MV,0.5333,72.9333,79.41,80,100,12.39,overcast clouds
Qandala,SO,11.472,49.8728,72.63,69,8,7.96,clear sky
Puerto Gaitan,CO,4.3133,-72.0816,92.32,38,1,17.43,clear sky
Rio Gallegos,AR,-51.6226,-69.2181,55.4,35,40,28.77,scattered clouds
Bubaque,GW,11.2833,-15.8333,78.21,74,0,14.58,clear sky
Inta,RU,66.0317,60.1659,-25.78,84,100,10.04,overcast clouds
Batagay,RU,67.6333,134.6333,-48.77,75,33,1.1,scattered clouds
Buraydah,SA,26.326,43.975,62.6,45,0,2.3,clear sky
Nizhniy Kuranakh,RU,58.8353,125.4869,-35.45,80,100,1.52,overcast clouds
Sitka,US,57.0531,-135.33,33.8,64,20,3.44,few clouds
Kolbermoor,DE,47.85,12.0667,30.0,88,100,4.0,light snow
Riyadh,SA,24.6877,46.7219,60.8,23,0,4.61,clear sky
Susanville,US,40.4163,-120.653,26.6,68,1,4.61,clear sky
Lasa,IT,46.6166,10.7002,30.2,64,0,7.34,clear sky
Christchurch,NZ,-43.5333,172.6333,82.4,32,0,4.61,clear sky
Shache,CN,38.4167,77.2406,22.12,84,8,2.73,clear sky
Nara,JP,34.6851,135.8049,53.01,98,100,1.99,overcast clouds
Constitucion,CL,-35.3333,-72.4167,66.34,51,0,14.41,clear sky
Zhezkazgan,KZ,47.8043,67.7144,6.44,95,7,5.57,clear sky
Beringovskiy,RU,63.05,179.3167,-8.57,90,100,12.3,overcast clouds
Vicuna,CL,-30.0319,-70.7081,66.2,72,40,11.5,scattered clouds
Pozo Colorado,PY,-23.4923,-58.7972,84.31,60,100,3.38,light rain
Punta Alta,AR,-38.8759,-62.0736,82.08,38,0,14.03,clear sky
Prado,BR,-17.3411,-39.2208,79.74,73,100,9.15,overcast clouds
Little Current,CA,45.9793,-81.9248,21.2,63,100,6.91,overcast clouds
Pierre,US,44.3683,-100.351,15.8,73,90,5.75,overcast clouds
Veraval,IN,20.9,70.3667,64.89,31,0,11.92,clear sky
Sao Joao Da Barra,BR,-21.6403,-41.0511,84.2,58,0,23.02,clear sky
Anderson,US,34.5334,-82.6499,72.0,49,75,11.5,broken clouds
Safaga,EG,26.7292,33.9365,62.6,63,0,4.61,clear sky
Waddan,LY,29.1614,16.139,63.79,36,0,14.32,clear sky
Kaka,TM,37.3482,59.6143,36.39,74,0,3.51,clear sky
Port Macquarie,AU,-31.4333,152.9167,70.0,99,6,3.65,clear sky
Olafsvik,IS,64.8945,-23.7142,26.13,87,100,22.35,overcast clouds
Kpandae,GH,8.4689,-0.0113,86.77,13,19,1.7,few clouds
Batavia,US,41.85,-88.3126,32.0,80,90,16.11,light snow
Hereford,GB,52.0568,-2.7148,44.01,97,98,4.59,overcast clouds
Abnub,EG,27.2696,31.1511,57.2,72,0,6.91,clear sky
Celestun,MX,20.8667,-90.4,85.05,60,0,2.64,clear sky
Egvekinot,RU,66.3167,-179.1667,-14.66,88,68,12.01,broken clouds
Salisbury,GB,51.0693,-1.7957,46.0,100,75,12.66,mist
The Valley,AI,18.217,-63.0578,78.8,69,75,16.11,broken clouds
Iberia,US,29.9502,-91.7507,73.4,49,90,10.36,overcast clouds
Wad Madani,SD,14.4012,33.5199,80.06,26,46,13.76,scattered clouds
Dillon,US,34.4166,-79.3712,72.0,100,90,15.77,overcast clouds
Tukrah,LY,32.5341,20.5791,61.5,74,97,29.71,overcast clouds
Tahe,CN,52.3333,124.7333,-13.41,88,100,3.94,overcast clouds
Isla Vista,US,34.4133,-119.861,55.99,38,1,13.8,clear sky
Severo-Yeniseyskiy,RU,60.3725,93.0408,-41.87,80,33,3.65,scattered clouds
Palmer,US,42.1584,-72.3287,30.0,69,90,3.44,light snow
New Kensington,US,40.5698,-79.7648,45.0,91,100,5.99,overcast clouds
Halifax,CA,44.6453,-63.5724,37.4,87,40,14.97,scattered clouds
Kiunga,PG,-6.1219,141.2906,73.04,98,100,2.57,light rain
Kichmengskiy Gorodok,RU,59.9816,45.7854,33.04,95,100,6.58,snow
Shibetsu,JP,43.659,145.132,27.82,98,100,9.95,light snow
Portalegre,PT,39.2938,-7.4312,59.0,99,89,5.01,overcast clouds
Krasnoselkup,RU,65.7,82.4667,-27.4,85,100,20.94,light snow
Kinsale,IE,51.7075,-8.5306,48.99,100,75,11.5,mist
Gunnedah,AU,-30.9833,150.25,73.99,67,75,2.21,broken clouds
Kaili,ID,-3.4626,120.2147,66.87,90,100,2.91,overcast clouds
Jacareacanga,BR,-6.2222,-57.7528,78.8,89,75,8.05,moderate rain
Goderich,CA,43.7501,-81.7165,26.6,93,100,10.36,light snow
Russell,US,32.3502,-85.1999,73.4,49,75,5.75,broken clouds
Yilan,TW,24.757,121.753,63.0,94,75,12.66,broken clouds
Peterhead,GB,57.5058,-1.7981,33.8,100,75,1.14,light rain
Lerwick,GB,60.1545,-1.1494,30.2,74,0,1.14,clear sky
Chapais,CA,49.7834,-74.8492,17.6,73,75,3.44,broken clouds
Bud,US,39.447,-86.1758,37.0,89,98,15.21,overcast clouds
Boa Vista,BR,2.8197,-60.6733,87.8,51,90,10.36,overcast clouds
Fortuna,US,40.5982,-124.1573,42.01,93,20,26.46,moderate rain
Bati,ET,11.1833,40.0167,55.49,40,0,2.84,clear sky
Berezovyy,RU,51.6667,135.7,-9.92,87,100,2.8,overcast clouds
Sept-Iles,CA,50.2001,-66.3821,35.6,55,98,2.3,overcast clouds
Anito,PH,12.4497,125.2886,77.88,86,100,7.87,overcast clouds
Rudbar,AF,30.15,62.6,46.71,39,0,4.99,clear sky
Hopewell,US,37.3043,-77.2872,44.6,87,90,4.61,overcast clouds
Nioro,GM,13.35,-15.75,83.86,12,1,6.4,clear sky
Pula,HR,44.8683,13.8481,35.6,75,0,2.3,clear sky
Kasongo-Lunda,CD,-6.4667,16.8167,72.93,81,67,1.41,light rain
Kanor,IN,24.4333,74.2667,50.14,47,0,7.92,clear sky
Brookhaven,US,31.5791,-90.4407,71.6,35,90,5.75,overcast clouds
Stepnogorsk,KZ,52.3544,71.8869,21.07,97,42,14.67,scattered clouds
Le Port,RE,-20.9373,55.2919,75.2,83,75,5.75,broken clouds
Gualeguay,AR,-33.1416,-59.3097,82.02,56,100,8.05,overcast clouds
Phalombe,MW,-15.8064,35.6507,68.36,89,98,1.66,overcast clouds
Visby,SE,57.6409,18.296,32.0,93,90,19.57,overcast clouds
Kruisfontein,ZA,-34.0033,24.7314,72.0,81,5,1.99,clear sky
Gusau,NG,12.1628,6.6614,75.7,18,51,8.77,broken clouds
Nueva Imperial,CL,-38.7333,-72.95,69.8,46,0,13.8,clear sky
Suzun,RU,53.7841,82.3116,10.62,95,100,9.42,light snow
Kogon,UZ,39.7228,64.5517,30.2,93,0,4.61,mist
Trincomalee,LK,8.5711,81.2335,77.16,71,64,12.44,broken clouds
Makakilo City,US,21.3469,-158.0858,77.0,69,1,8.05,light rain
Tecoanapa,MX,16.5167,-98.75,83.52,54,0,10.87,clear sky
Sainte-Rose,GP,16.3324,-61.6979,78.8,69,20,8.05,few clouds
Half Moon Bay,US,37.4636,-122.4286,52.0,76,20,13.8,few clouds
Levittown,US,40.1551,-74.8288,36.0,93,90,9.22,light rain
Hofn,IS,64.2539,-15.2082,25.9,89,9,27.09,clear sky
Bekhtery,UA,46.251,32.2927,37.4,93,75,15.66,mist
Formosa Do Rio Preto,BR,-11.0483,-45.1931,89.11,40,35,5.44,scattered clouds
Manjacaze,MZ,-24.7117,33.8828,75.7,91,100,7.29,overcast clouds
Lazo,RU,43.3817,133.9014,18.77,92,47,7.7,scattered clouds
Benemerito De Las Americas,MX,16.5167,-90.6439,91.0,46,0,4.63,clear sky
Milkovo,RU,54.7167,158.6167,10.8,95,100,1.9,overcast clouds
Mopipi,BW,-21.1833,24.8833,75.85,72,100,14.56,moderate rain
Pangai,TO,-19.8,-174.35,78.8,83,75,2.3,light rain
Orlik,RU,52.5178,99.825,-23.22,76,100,2.44,overcast clouds
Letlhakane,BW,-21.4167,25.5833,73.36,76,100,14.38,light rain
Marquette,US,46.5333,-87.6335,21.0,82,100,10.85,overcast clouds
Dalianwan,CN,39.0286,121.695,23.0,93,37,2.24,scattered clouds
Griffith,US,41.5284,-87.4237,32.0,86,90,5.75,light snow
Malindi,KE,-3.2175,40.1191,80.6,74,0,11.5,clear sky
Tres Arroyos,AR,-38.3739,-60.2798,87.48,31,100,12.68,overcast clouds
Malmo,SE,55.6059,13.0007,34.0,86,0,6.91,clear sky
Bin Qirdan,TN,33.1378,11.2197,56.12,41,0,19.19,clear sky
Chara,RU,56.9064,118.2631,-23.22,81,100,2.21,overcast clouds
Margate,GB,51.3813,1.3862,41.0,85,100,5.99,light rain
Mao,ES,39.8885,4.2658,51.8,71,20,11.5,few clouds
Keetmanshoop,NA,-26.5833,18.1333,83.35,21,0,18.99,clear sky
Namatanai,PG,-3.6667,152.4333,80.33,80,100,5.48,light rain
Pilani,IN,28.3684,75.6041,51.28,45,0,3.15,clear sky
Goya,AR,-29.14,-59.2626,75.2,94,75,9.22,broken clouds
Kutum,SD,14.2,24.6667,62.51,25,4,6.33,clear sky
Adre,TD,13.4667,22.2,71.01,20,10,9.13,clear sky
Massakory,TD,12.996,15.7293,78.21,16,86,11.54,overcast clouds
Norsup,VU,-16.0667,167.3833,81.3,81,100,7.94,light rain
Tonantins,BR,-2.8731,-67.8022,86.97,66,97,2.46,overcast clouds
Tiarei,PF,-17.5333,-149.3333,84.2,65,75,2.3,light rain
Bunia,CD,1.5667,30.25,70.16,50,97,3.98,overcast clouds
Roswell,US,34.0232,-84.3616,66.99,55,75,8.05,broken clouds
Alamosa,US,37.4695,-105.87,24.8,58,75,9.22,light snow
Oksfjord,NO,70.2396,22.3479,28.4,69,40,28.77,scattered clouds
Gemena,CD,3.25,19.7667,78.19,53,16,1.41,few clouds
Embonas,GR,36.2269,27.8564,63.0,77,40,6.91,scattered clouds
Walvis Bay,NA,-22.9575,14.5053,69.01,82,61,5.75,broken clouds
Baillif,GP,16.0202,-61.7463,78.8,69,20,8.05,few clouds
Slave Lake,CA,55.2834,-114.769,1.4,71,90,14.97,light snow
Clevelandia,BR,-26.3958,-52.4708,71.2,90,100,8.08,heavy intensity rain
San Lorenzo,PY,-25.3333,-57.5333,87.8,66,40,10.36,scattered clouds
Toamasina,MG,-18.1667,49.3833,78.8,89,40,3.4,scattered clouds
Pervomayskoye,RU,43.919,46.7102,40.06,88,1,9.17,clear sky
Lumeje,AO,-11.55,20.7833,66.42,90,100,7.52,light rain
Nizwa,OM,22.9333,57.5333,58.78,51,34,4.7,scattered clouds
Port Hedland,AU,-20.3167,118.5667,80.6,78,48,10.36,scattered clouds
Santiago Del Estero,AR,-27.7951,-64.2615,91.99,48,41,1.99,moderate rain
Ballina,AU,-28.8667,153.5667,68.0,100,12,5.86,few clouds
Muros,ES,42.7762,-9.0603,59.0,96,100,7.45,overcast clouds
Karimpur,IN,23.9667,88.6167,55.4,42,2,5.39,clear sky
Sultanpur,IN,26.2667,82.0667,49.06,54,0,5.14,clear sky
Gizo,SB,-8.103,156.8419,83.5,75,70,12.82,broken clouds
Puerto Escondido,MX,15.85,-97.0667,86.0,70,1,9.22,clear sky
San Ramon,US,37.7799,-121.978,51.01,43,75,13.8,broken clouds
Saint-Georges,GD,12.0564,-61.7485,82.4,65,40,20.71,scattered clouds
Geraldton,AU,-28.7667,114.6,67.57,74,8,17.56,clear sky
Matara,LK,5.9485,80.5353,70.61,85,100,6.4,overcast clouds
Izumo,JP,35.3667,132.7667,48.2,87,75,3.44,broken clouds
Hoi An,VN,15.8794,108.335,71.6,88,75,2.8,broken clouds
Pringsewu,ID,-5.3582,104.9744,73.49,93,100,3.18,moderate rain
Sioux Lookout,CA,50.1001,-91.917,-5.8,77,40,4.61,light snow
Adrar,MR,20.5022,-10.0711,71.82,17,0,7.49,clear sky
Starobaltachevo,RU,56.0013,55.9213,21.97,96,100,13.2,overcast clouds
Dharchula,IN,29.85,80.5333,44.89,34,0,7.87,clear sky
Alexandria,EG,31.2156,29.9553,59.0,77,0,2.3,clear sky
Sovetskiy,RU,61.3614,63.5842,26.55,97,89,8.7,overcast clouds
Barraute,CA,48.4335,-77.6328,17.6,73,40,5.75,scattered clouds
Savannakhet,LA,16.566,104.751,62.29,90,95,5.17,overcast clouds
Vallenar,CL,-28.5708,-70.7581,84.24,24,0,10.18,clear sky
Pirot,RS,43.1531,22.5861,34.0,10,100,6.76,snow
Paraiso,CR,9.8383,-83.8656,78.8,50,20,18.41,few clouds
Samfya,ZM,-11.3649,29.5565,64.72,91,100,4.47,light rain
Zhigalovo,RU,54.8097,105.1578,-24.36,82,100,1.92,overcast clouds
Opuwo,NA,-18.0607,13.84,71.02,65,93,12.3,overcast clouds
San Luis,AR,-33.295,-66.3356,91.62,27,82,14.25,broken clouds
